;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
2387;2.8;21.346130000000002;54.581165;2.8;2.8;2;0.0;SEA;pos;2017-04-21
1611;-2.0;30.585164;36.238414;-2.0;-2.0;3;0.0;JOR;neg;2017-04-21
3072;-4.4;1.352083;103.819836;-4.4;-4.4;1;0.0;SGP;neg;2017-04-21
809;4.05;51.04925;7.95315625;8.3;0.0;8;2.987473849257932;WST;pos;2017-04-21
385;-4.8052631578947365;55.378051;-3.435973;-0.4;-10.0;19;3.511256138134902;GBR;neg;2017-04-21
1846;3.0;48.019573;66.923684;3.0;3.0;3;0.0;KAZ;pos;2017-04-21
2740;-2.0;61.92411;25.748151;-2.0;-2.0;1;0.0;FIN;neg;2017-04-21
2839;-10.0;48.8667;2.33333;-10.0;-10.0;1;0.0;AFR;neg;2017-04-21
674;1.46;40.069099;45.038189;3.4;0.0;10;1.3792751719653333;ARM;pos;2017-04-21
2832;-10.0;23.885942;45.079162;-10.0;-10.0;1;0.0;SAU;neg;2017-04-21
2067;0.0;40.339852;127.510093;0.0;0.0;2;0.0;PRK;pos;2017-04-21
519;1.9;56.130366;-106.346771;4.0;0.0;13;1.5281965238098847;CAN;pos;2017-04-21
671;-4.4;-0.789275;113.921327;-2.0;-10.0;10;3.6660605559646724;IDN;neg;2017-04-21
2068;2.8;28.033886;1.659626;2.8;2.8;2;0.0;DZA;pos;2017-04-21
2069;-10.0;41.608635;21.745275;-10.0;-10.0;2;0.0;MKD;neg;2017-04-21
2071;1.0;41.608635;21.745275;1.0;1.0;2;0.0;MKD;pos;2017-04-21
2731;0.4;47.516231;14.550072;0.4;0.4;1;0.0;AUT;pos;2017-04-21
2828;2.8;3.202778;73.22068;2.8;2.8;1;0.0;MDV;pos;2017-04-21
2818;0.4;-40.900557;174.885971;0.4;0.4;1;0.0;NZL;pos;2017-04-21
2813;4.0;13.794185;-88.89653;4.0;4.0;1;0.0;SLV;pos;2017-04-21
639;-6.8;38.963745;35.243322;-2.0;-10.0;10;3.919183588453085;TUR;neg;2017-04-21
637;-6.0;26.820553;30.802498;-2.0;-10.0;10;4.0;EGY;neg;2017-04-21
2114;-2.0;29.31166;47.481766;-2.0;-2.0;2;0.0;KWT;neg;2017-04-21
568;4.8500000000000005;-0.789275;113.921327;7.0;2.8;12;1.6874537030686207;IDN;pos;2017-04-21
2105;0.0;40.463667;-3.74922;0.0;0.0;2;0.0;ESP;pos;2017-04-21
2086;2.8;31.952162;35.233154;2.8;2.8;2;0.0;PSE;pos;2017-04-21
2087;-10.0;31.791702;-7.09262;-10.0;-10.0;2;0.0;MAR;neg;2017-04-21
607;3.7363636363636363;7.946527;-1.023194;7.0;0.0;11;2.371525296387318;GHA;pos;2017-04-21
595;4.0181818181818185;52.132633;5.291266;7.0;2.8;11;1.6191008626104135;NLD;pos;2017-04-21
654;-7.38;-25.274398;133.775136;-4.4;-10.0;10;2.628231344459616;AUS;neg;2017-04-21
2845;1.9;-14.235004;-51.92528;1.9;1.9;1;0.0;BRA;pos;2017-04-21
2729;2.8;7.539989;-5.54708;2.8;2.8;1;0.0;CIV;pos;2017-04-21
698;2.1777777777777776;30.375321;69.345116;2.8;0.0;9;1.1640711869963374;PAK;pos;2017-04-21
1608;5.0;35.907757;127.766922;7.0;4.0;3;1.4142135623730951;KOR;pos;2017-04-21
2913;4.0;12.984305;-61.287228;4.0;4.0;1;0.0;VCT;pos;2017-04-21
2686;-2.0;25.930414;50.637772;-2.0;-2.0;1;0.0;BHR;neg;2017-04-21
419;-4.952941176470588;51.165691;10.451526;-0.4;-10.0;17;3.7608068044063643;DEU;neg;2017-04-21
769;4.3;39.074208;21.824312;7.0;2.8;8;1.8000000000000003;GRC;pos;2017-04-21
2688;0.0;-4.038333;21.758664;0.0;0.0;1;0.0;COD;pos;2017-04-21
2690;-2.0;17.357822;-62.782998;-2.0;-2.0;1;0.0;KNA;neg;2017-04-21
1598;2.3333333333333335;8.537981;-80.782127;7.0;0.0;3;3.2998316455372216;PAN;pos;2017-04-21
2887;-4.0;13.909444;-60.978893;-4.0;-4.0;1;0.0;LCA;neg;2017-04-21
2886;2.8;1.352083;103.819836;2.8;2.8;1;0.0;SGP;pos;2017-04-21
2700;-5.0;14.058324;108.277199;-5.0;-5.0;1;0.0;VNM;neg;2017-04-21
1595;3.4;23.634501;-102.552784;3.4;3.4;3;0.0;MEX;pos;2017-04-21
2714;-10.0;22.198745;113.543873;-10.0;-10.0;1;0.0;MAC;neg;2017-04-21
2717;-5.0;12.565679;104.990963;-5.0;-5.0;1;0.0;KHM;neg;2017-04-21
1472;2.125;20.593684;78.96288;2.8;1.9;4;0.38971143170299727;IND;pos;2017-04-21
459;2.2333333333333334;36.204824;138.252924;7.0;0.0;15;2.6652496234978735;JPN;pos;2017-04-21
460;-4.133333333333334;34.802075;38.996815;-2.0;-10.0;15;3.5377331097124265;SYR;neg;2017-04-21
720;5.2444444444444445;35.86166;104.195397;8.0;2.8;9;2.4689678955255374;CHN;pos;2017-04-21
719;4.0;14.058324;108.277199;6.0;2.8;9;1.2754084313139329;VNM;pos;2017-04-21
1474;-6.0;25.354826;51.183884;-2.0;-10.0;4;4.0;QAT;neg;2017-04-21
2851;2.8;42.3584;-71.0598;2.8;2.8;1;0.0;NMR;pos;2017-04-21
714;0.0;15.870032;100.992541;0.0;0.0;9;0.0;THA;pos;2017-04-21
710;2.2;38.963745;35.243322;3.4;1.0;9;1.0099504938362078;TUR;pos;2017-04-21
708;2.322222222222222;31.791702;-7.09262;4.0;0.0;9;1.1193031341744915;MAR;pos;2017-04-21
487;-6.071428571428571;35.86166;104.195397;-2.0;-10.0;14;3.731416539031136;CHN;neg;2017-04-21
382;-4.347368421052631;48.25737894736842;11.68344789473684;-0.4;-10.0;19;3.274682535204167;EUR;neg;2017-04-21
2316;-10.0;3.202778;73.22068;-10.0;-10.0;2;0.0;MDV;neg;2017-04-21
591;2.8545454545454545;46.818188;8.227512;6.0;1.0;11;1.4424497069308146;CHE;pos;2017-04-21
9;2.903862660944206;46.227638;2.213749;10.0;0.0;233;2.5957596022105847;FRA;pos;2017-04-21
2193;0.4;33.223191;43.679291;0.4;0.4;2;0.0;IRQ;pos;2017-04-21
2219;-2.0;47.162494;19.503304;-2.0;-2.0;2;0.0;HUN;neg;2017-04-21
1790;-6.5;7.369722;12.354722;-6.5;-6.5;3;0.0;CMR;neg;2017-04-21
1191;5.92;60.472024;8.468946;8.0;2.8;5;2.5474693324945052;NOR;pos;2017-04-21
7;3.003846153846154;37.09024;-95.712891;10.0;0.0;260;2.2717124630535666;USA;pos;2017-04-21
108;-5.530434782608696;37.09024;-95.712891;-0.1;-10.0;69;3.8769966094278194;USA;neg;2017-04-21
1750;7.0;-30.559482;22.937506;7.0;7.0;3;0.0;ZAF;pos;2017-04-21
2232;4.0;51.919438;19.145136;4.0;4.0;2;0.0;POL;pos;2017-04-21
77;3.1900000000000004;55.378051;-3.435973;8.0;0.0;90;1.9973343346681962;GBR;pos;2017-04-21
2273;-0.3;48.379433;31.16558;-0.3;-0.3;2;0.0;UKR;neg;2017-04-21
1132;-4.0;52.132633;5.291266;-2.0;-10.0;5;3.0983866769659336;NLD;neg;2017-04-21
2218;2.3499999999999996;43.750298;7.412841;2.8;1.9;2;0.44999999999999984;MCO;pos;2017-04-21
12;-6.1759803921568635;46.227638;2.213749;-0.3;-10.0;204;3.5726989742210082;FRA;neg;2017-04-21
2249;-2.0;42.0;-47.5;-2.0;-2.0;2;0.0;NMR;neg;2017-04-21
2257;-2.0;-6.314993;143.95555;-2.0;-2.0;2;0.0;PNG;neg;2017-04-21
1015;0.5;40.069099;45.038189;1.0;0.0;6;0.5;ARM;pos;2017-04-22
37;2.1364285714285716;46.227638;2.213749;10.0;0.0;140;2.268958562685461;FRA;pos;2017-04-22
193;2.3342105263157897;41.87194;12.56738;7.0;0.0;38;1.5614224816509419;ITA;pos;2017-04-22
1366;-8.75;32.427908;53.688046;-5.0;-10.0;4;2.165063509461097;IRN;neg;2017-04-22
250;2.0;51.165691;10.451526;7.0;0.0;29;1.950596725673171;DEU;pos;2017-04-22
2862;2.8;20.593684;78.96288;2.8;2.8;1;0.0;IND;pos;2017-04-22
1759;1.8999999999999997;45.1;15.2;1.9;1.9;3;0.0;HRV;pos;2017-04-22
3124;2.8;23.424076;53.847818;2.8;2.8;1;0.0;ARE;pos;2017-04-22
1844;-2.0;31.952162;35.233154;-2.0;-2.0;3;0.0;PSE;neg;2017-04-22
1001;-3.0;35.86166;104.195397;-2.0;-5.0;6;1.4142135623730951;CHN;neg;2017-04-22
482;-5.685714285714285;47.89048571428572;5.916665714285714;-4.0;-10.0;14;2.110469528956308;EUR;neg;2017-04-22
2244;-2.0;47.162494;19.503304;-2.0;-2.0;2;0.0;HUN;neg;2017-04-22
2065;-4.0;20.593684;78.96288;-4.0;-4.0;2;0.0;IND;neg;2017-04-22
483;3.257142857142857;-25.274398;133.775136;8.0;1.0;14;2.082825788515718;AUS;pos;2017-04-22
